	CTO	Private Market	PEA	Total			
				Plus value			
Date	Action	Private Market	PEA (ss espèces)	Plus value	Total	Rendement PEA	APY %
01/08/2024	5,000.00 €	1,000.00 €	10,000.00 €	-4,000.00 €	16,000.00 €		
01/09/2024	5,250.00 €	1,100.00 €	11,000.00 €	-3,650.00 €	17,350.00 €		
01/10/2024	5,500.00 €	1,200.00 €	12,000.00 €	-3,300.00 €	18,700.00 €		
01/11/2024	5,750.00 €	1,300.00 €	13,000.00 €	-2,950.00 €	20,050.00 €		
01/12/2024	6,000.00 €	1,400.00 €	14,000.00 €	-2,600.00 €	21,400.00 €		
01/01/2025	6,250.00 €	1,500.00 €	15,000.00 €	-2,250.00 €	22,750.00 €		
01/02/2025	6,500.00 €	1,600.00 €	16,000.00 €	-1,900.00 €	24,100.00 €		
01/03/2025	6,750.00 €	1,700.00 €	17,000.00 €	-1,550.00 €	25,450.00 €		
01/04/2025	7,000.00 €	1,800.00 €	18,000.00 €	-1,200.00 €	26,800.00 €		
01/05/2025	7,250.00 €	1,900.00 €	19,000.00 €	-850.00 €	28,150.00 €		
01/06/2025	7,500.00 €	2,000.00 €	20,000.00 €	-500.00 €	29,500.00 €		
01/07/2025	7,750.00 €	2,100.00 €	21,000.00 €	-150.00 €	30,850.00 €		
01/08/2025	8,000.00 €	2,200.00 €	22,000.00 €	200.00 €	32,200.00 €		
01/09/2025	8,250.00 €	2,300.00 €	23,000.00 €	550.00 €	33,550.00 €		
01/10/2025	8,500.00 €	2,400.00 €	24,000.00 €	900.00 €	34,900.00 €		
01/11/2025	8,750.00 €	2,500.00 €	25,000.00 €	1,250.00 €	36,250.00 €		
01/12/2025	9,000.00 €	2,600.00 €	26,000.00 €	1,600.00 €	37,600.00 €		
01/01/2026	9,250.00 €	2,700.00 €	27,000.00 €	1,950.00 €	38,950.00 €		
01/02/2026	9,500.00 €	2,800.00 €	28,000.00 €	2,300.00 €	40,300.00 €		
01/03/2026	9,750.00 €	2,900.00 €	29,000.00 €	2,650.00 €	41,650.00 €		
01/04/2026	10,000.00 €	3,000.00 €	30,000.00 €	3,000.00 €	43,000.00 €		
01/05/2026	10,250.00 €	3,100.00 €	31,000.00 €	3,350.00 €	44,350.00 €		
01/06/2026	10,500.00 €	3,200.00 €	32,000.00 €	3,700.00 €	45,700.00 €		
01/07/2026	10,750.00 €	3,300.00 €	33,000.00 €	4,050.00 €	47,050.00 €		
01/08/2026	11,000.00 €	3,400.00 €	34,000.00 €	4,400.00 €	48,400.00 €		
