Date	Total	Bricks investis	Solde dispo	Revenu brute	Fiscalité	Revenu net	
01/08/2024		8,000.00 €	500.00 €	3.00 €	0.90 €	2.10 €	
01/09/2024		8,025.00 €	510.00 €	3.50 €	1.05 €	2.45 €	
01/10/2024		8,050.00 €	520.00 €	4.00 €	1.20 €	2.80 €	
01/11/2024		8,075.00 €	530.00 €	4.50 €	1.35 €	3.15 €	
01/12/2024		8,100.00 €	540.00 €	5.00 €	1.50 €	3.50 €	
01/01/2025		8,125.00 €	550.00 €	5.50 €	1.65 €	3.85 €	
01/02/2025		8,150.00 €	560.00 €	6.00 €	1.80 €	4.20 €	
01/03/2025		8,175.00 €	570.00 €	6.50 €	1.95 €	4.55 €	
01/04/2025		8,200.00 €	580.00 €	7.00 €	2.10 €	4.90 €	
01/05/2025		8,225.00 €	590.00 €	7.50 €	2.25 €	5.25 €	
01/06/2025		8,250.00 €	600.00 €	8.00 €	2.40 €	5.60 €	
01/07/2025		8,275.00 €	610.00 €	8.50 €	2.55 €	5.95 €	
01/08/2025		8,300.00 €	620.00 €	9.00 €	2.70 €	6.30 €	
01/09/2025		8,325.00 €	630.00 €	9.50 €	2.85 €	6.65 €	
01/10/2025		8,350.00 €	640.00 €	10.00 €	3.00 €	7.00 €	
01/11/2025		8,375.00 €	650.00 €	10.50 €	3.15 €	7.35 €	
01/12/2025		8,400.00 €	660.00 €	11.00 €	3.30 €	7.70 €	
01/01/2026		8,425.00 €	670.00 €	11.50 €	3.45 €	8.05 €	
01/02/2026		8,450.00 €	680.00 €	12.00 €	3.60 €	8.40 €	
01/03/2026		8,475.00 €	690.00 €	12.50 €	3.75 €	8.75 €	
01/04/2026		8,500.00 €	700.00 €	13.00 €	3.90 €	9.10 €	
01/05/2026		8,525.00 €	710.00 €	13.50 €	4.05 €	9.45 €	
01/06/2026		8,550.00 €	720.00 €	14.00 €	4.20 €	9.80 €	
01/07/2026		8,575.00 €	730.00 €	14.50 €	4.35 €	10.15 €	
01/08/2026		8,600.00 €	740.00 €	15.00 €	4.50 €	10.50 €	
