	Total crypto	Trade republic	Binance	Ledger	Hot Wallet Principal	Hot Wallet Ledger	Defi non reconnu		Calcul 	Part BTC dans le patrimoine		
			/!\\ convertir $ en €		En $	En $	En $		brut	net	hors-immo	
Date	Total crypto	Trade republic	Binance	Ledger	Hot Wallet Principal	Hot Wallet Ledger	Defi non reconnu	BTC	1.30%	2.90%	4.47%
01/08/2024	12,000.00 €	200.00 €	500.00 €	4,000.00 €	6,000.00	3,000.00	1,500.00	0.1			
01/09/2024	12,300.00 €	205.00 €	502.00 €	4,100.00 €	6,050.00	3,040.00	1,520.00	0.102			
01/10/2024	12,600.00 €	210.00 €	504.00 €	4,200.00 €	6,100.00	3,080.00	1,540.00	0.104			
01/11/2024	12,900.00 €	215.00 €	506.00 €	4,300.00 €	6,150.00	3,120.00	1,560.00	0.106			
01/12/2024	13,200.00 €	220.00 €	508.00 €	4,400.00 €	6,200.00	3,160.00	1,580.00	0.108			
01/01/2025	13,500.00 €	225.00 €	510.00 €	4,500.00 €	6,250.00	3,200.00	1,600.00	0.11			
01/02/2025	13,800.00 €	230.00 €	512.00 €	4,600.00 €	6,300.00	3,240.00	1,620.00	0.112			
01/03/2025	14,100.00 €	235.00 €	514.00 €	4,700.00 €	6,350.00	3,280.00	1,640.00	0.114			
01/04/2025	14,400.00 €	240.00 €	516.00 €	4,800.00 €	6,400.00	3,320.00	1,660.00	0.116			
01/05/2025	14,700.00 €	245.00 €	518.00 €	4,900.00 €	6,450.00	3,360.00	1,680.00	0.118			
01/06/2025	15,000.00 €	250.00 €	520.00 €	5,000.00 €	6,500.00	3,400.00	1,700.00	0.12			
01/07/2025	15,300.00 €	255.00 €	522.00 €	5,100.00 €	6,550.00	3,440.00	1,720.00	0.122			
01/08/2025	15,600.00 €	260.00 €	524.00 €	5,200.00 €	6,600.00	3,480.00	1,740.00	0.124			
01/09/2025	15,900.00 €	265.00 €	526.00 €	5,300.00 €	6,650.00	3,520.00	1,760.00	0.126			
01/10/2025	16,200.00 €	270.00 €	528.00 €	5,400.00 €	6,700.00	3,560.00	1,780.00	0.128			
01/11/2025	16,500.00 €	275.00 €	530.00 €	5,500.00 €	6,750.00	3,600.00	1,800.00	0.13			
01/12/2025	16,800.00 €	280.00 €	532.00 €	5,600.00 €	6,800.00	3,640.00	1,820.00	0.132			
01/01/2026	17,100.00 €	285.00 €	534.00 €	5,700.00 €	6,850.00	3,680.00	1,840.00	0.134			
01/02/2026	17,400.00 €	290.00 €	536.00 €	5,800.00 €	6,900.00	3,720.00	1,860.00	0.136			
01/03/2026	17,700.00 €	295.00 €	538.00 €	5,900.00 €	6,950.00	3,760.00	1,880.00	0.138			
01/04/2026	18,000.00 €	300.00 €	540.00 €	6,000.00 €	7,000.00	3,800.00	1,900.00	0.14			
01/05/2026	18,300.00 €	305.00 €	542.00 €	6,100.00 €	7,050.00	3,840.00	1,920.00	0.142			
01/06/2026	18,600.00 €	310.00 €	544.00 €	6,200.00 €	7,100.00	3,880.00	1,940.00	0.144			
01/07/2026	18,900.00 €	315.00 €	546.00 €	6,300.00 €	7,150.00	3,920.00	1,960.00	0.146			
01/08/2026	19,200.00 €	320.00 €	548.00 €	6,400.00 €	7,200.00	3,960.00	1,980.00	0.148			
