Date	Compte courant	Livrets	Assurance Vie	Crowlending	Bourse	Crypto	Total	Revenus globaux	
01/08/2024	5,000.00 €	20,000.00 €	30000	2000	10,000.00 €	500	67,500.00 €	1,500.00 €	
01/09/2024	5,200.00 €	20,500.00 €	30000	2000	10,000.00 €	500	68,200.00 €	1,380.00 €	
01/10/2024	5,400.00 €	21,000.00 €	30000	2000	10,000.00 €	500	68,900.00 €	1,260.00 €	
01/11/2024	5,600.00 €	21,500.00 €	30000	2000	10,000.00 €	500	69,600.00 €	1,140.00 €	
01/12/2024	5,800.00 €	22,000.00 €	30000	2000	10,000.00 €	500	70,300.00 €	1,020.00 €	
01/01/2025	6,000.00 €	22,500.00 €	30000	2000	10,000.00 €	500	71,000.00 €	900.00 €	
01/02/2025	6,200.00 €	23,000.00 €	30000	2000	10,000.00 €	500	71,700.00 €	780.00 €	
01/03/2025	6,400.00 €	23,500.00 €	30000	2000	10,000.00 €	500	72,400.00 €	660.00 €	
01/04/2025	6,600.00 €	24,000.00 €	30000	2000	10,000.00 €	500	73,100.00 €	540.00 €	
01/05/2025	6,800.00 €	24,500.00 €	30000	2000	10,000.00 €	500	73,800.00 €	420.00 €	
01/06/2025	7,000.00 €	25,000.00 €	30000	2000	10,000.00 €	500	74,500.00 €	300.00 €	
01/07/2025	7,200.00 €	25,500.00 €	30000	2000	10,000.00 €	500	75,200.00 €	180.00 €	
01/08/2025	7,400.00 €	26,000.00 €	30000	2000	10,000.00 €	500	75,900.00 €	60.00 €	
01/09/2025	7,600.00 €	26,500.00 €	30000	2000	10,000.00 €	500	76,600.00 €	-60.00 €	
01/10/2025	7,800.00 €	27,000.00 €	30000	2000	10,000.00 €	500	77,300.00 €	-180.00 €	
01/11/2025	8,000.00 €	27,500.00 €	30000	2000	10,000.00 €	500	78,000.00 €	-300.00 €	
01/12/2025	8,200.00 €	28,000.00 €	30000	2000	10,000.00 €	500	78,700.00 €	-420.00 €	
01/01/2026	8,400.00 €	28,500.00 €	30000	2000	10,000.00 €	500	79,400.00 €	-540.00 €	
01/02/2026	8,600.00 €	29,000.00 €	30000	2000	10,000.00 €	500	80,100.00 €	-660.00 €	
01/03/2026	8,800.00 €	29,500.00 €	30000	2000	10,000.00 €	500	80,800.00 €	-780.00 €	
01/04/2026	9,000.00 €	30,000.00 €	30000	2000	10,000.00 €	500	81,500.00 €	-900.00 €	
01/05/2026	9,200.00 €	30,500.00 €	30000	2000	10,000.00 €	500	82,200.00 €	-1,020.00 €	
01/06/2026	9,400.00 €	31,000.00 €	30000	2000	10,000.00 €	500	82,900.00 €	-1,140.00 €	
01/07/2026	9,600.00 €	31,500.00 €	30000	2000	10,000.00 €	500	83,600.00 €	-1,260.00 €	
01/08/2026	9,800.00 €	32,000.00 €	30000	2000	10,000.00 €	500	84,300.00 €	-1,380.00 €	
